,Country,Region,Population,Area,Net_migration,GDP_per_capita,Literacy_rate,Birthrate,Deathrate,Unemployment_rate,Infant_mortality,GDP,Main_sector
1,Afghanistan,ASIA (EX. NEAR EAST),31056997,647500,23.06,700,36,46.6,20.34,35,163.07,21739,Desconocido
2,Albania,EASTERN EUROPE,3581655,28748,-4.93,4500,86.5,15.11,5.22,14,21.52,16117,Terciario
3,Algeria,NORTHERN AFRICA,32930091,2381740,-0.39,6000,70,17.14,4.61,11.7,31,197580,Secundario
4,American Samoa,OCEANIA,57794,199,-20.71,8000,97,22.46,3.27,29.8,9.27,462,Primario
5,Andorra,WESTERN EUROPE,71201,468,6.6,19000,100,8.71,6.25,3.7,4.05,1352,Terciario
6,Angola,SUB-SAHARAN AFRICA,12127071,1246700,0,1900,42,45.11,24.2,20.4,191.19,23041,Secundario
7,Anguilla,LATIN AMER. & CARIB,13477,102,10.76,8600,95,14.17,5.34,8,21.03,115,Terciario
8,Antigua & Barbuda,LATIN AMER. & CARIB,69108,443,-6.15,11000,89,16.93,5.37,14,19.46,760,Terciario
9,Argentina,LATIN AMER. & CARIB,39921833,2766890,0.61,11200,97.1,16.73,7.55,8.1,15.18,447124,Terciario
10,Armenia,C.W. OF IND. STATES,2976372,29800,-6.47,3500,98.6,12.07,8.23,18.9,23.28,10417,Terciario
11,Aruba,LATIN AMER. & CARIB,71891,193,0,28000,97,11.03,6.68,6.9,5.89,2012,Terciario
12,Australia,OCEANIA,20264082,7686850,3.98,29000,100,12.14,7.51,5.6,4.69,587658,Terciario
13,Austria,WESTERN EUROPE,8192880,83870,2,30000,98,8.74,9.76,5.4,4.66,245786,Terciario
14,Azerbaijan,C.W. OF IND. STATES,7961619,86600,-4.9,3400,97,20.74,9.75,6,81.74,27069,Secundario
15,"Bahamas, The ",LATIN AMER. & CARIB,303770,13940,-2.2,16700,95.6,17.57,9.05,9.8,25.21,5072,Terciario
16,Bahrain,NEAR EAST,698585,665,1.05,16900,89.1,17.8,4.14,3.8,17.27,11806,Terciario
17,Bangladesh,ASIA (EX. NEAR EAST),147365352,144000,-0.71,1900,43.1,29.8,8.27,4.1,62.6,279994,Terciario
18,Barbados,LATIN AMER. & CARIB,279912,431,-0.31,15700,97.4,12.71,8.67,9.8,12.5,4394,Terciario
19,Belarus,C.W. OF IND. STATES,10293011,207600,2.54,6100,99.6,11.16,14.02,1,13.37,62787,Terciario
20,Belgium,WESTERN EUROPE,10379067,30528,1.23,29100,98,10.38,10.27,7.5,4.68,302030,Terciario
21,Belize,LATIN AMER. & CARIB,287730,22966,0,4900,94.1,28.84,5.72,10.1,25.69,1409,Terciario
22,Benin,SUB-SAHARAN AFRICA,7862944,112620,0,1100,40.9,38.85,12.22,1,85,8649,Terciario
23,Bermuda,NORTHERN AMERICA,65773,53,2.49,36000,98,11.4,7.74,9,8.53,2367,Terciario
24,Bhutan,ASIA (EX. NEAR EAST),2279723,47000,0,1300,42.2,33.65,12.7,3.2,100.44,2963,Secundario
25,Bolivia,LATIN AMER. & CARIB,8989046,1098580,-1.32,2400,87.2,23.3,7.53,4,53.11,21573,Terciario
26,Bosnia & Herzegovina,EASTERN EUROPE,4498976,51129,0.31,6100,97,8.77,8.27,11.5,21.05,27443,Terciario
27,Botswana,SUB-SAHARAN AFRICA,1639833,600370,0,9000,79.8,23.08,29.5,20,54.58,14758,Terciario
28,Brazil,LATIN AMER. & CARIB,188078227,8511965,-0.03,7600,86.4,16.56,6.17,13.1,29.61,1429394,Terciario
29,British Virgin Is.,LATIN AMER. & CARIB,23098,153,10.01,16000,97.8,14.89,4.42,6.9,18.05,369,Terciario
30,Brunei,ASIA (EX. NEAR EAST),379444,5770,3.59,18600,93.9,18.79,3.45,6.9,12.61,7057,Secundario
31,Bulgaria,EASTERN EUROPE,7385367,110910,-4.58,7600,98.6,9.65,14.27,6.6,20.55,56128,Terciario
32,Burkina Faso,SUB-SAHARAN AFRICA,13902972,274200,0,1100,26.6,45.62,15.6,77,97.57,15293,Terciario
33,Burma,ASIA (EX. NEAR EAST),47382633,678500,-1.8,1800,85.3,17.91,9.83,4,67.24,85288,Primario
34,Burundi,SUB-SAHARAN AFRICA,8090068,27830,-0.06,600,51.6,42.22,13.46,11.7,69.29,4854,Primario
35,Cambodia,ASIA (EX. NEAR EAST),13881427,181040,0,1900,69.4,26.9,9.06,0.3,71.48,26374,Desconocido
36,Cameroon,SUB-SAHARAN AFRICA,17340702,475440,0,1800,79,33.89,13.47,4.3,68.26,31213,Primario
37,Canada,NORTHERN AMERICA,33098932,9984670,5.96,29800,97,10.78,7.8,6.5,4.75,986348,Terciario
38,Cape Verde,SUB-SAHARAN AFRICA,420979,4033,-12.07,1400,76.6,24.87,6.55,5.9,47.77,589,Terciario
39,Cayman Islands,LATIN AMER. & CARIB,45436,262,18.75,35000,98,12.74,4.89,4,8.19,1590,Terciario
40,Central African Rep.,SUB-SAHARAN AFRICA,4303356,622984,0,1100,51,33.91,18.65,20.4,91,4733,Primario
41,Chad,SUB-SAHARAN AFRICA,9944201,1284000,-0.11,1200,47.5,45.73,16.38,9.4,93.82,11933,Terciario
42,Chile,LATIN AMER. & CARIB,16134219,756950,0,9900,96.2,15.23,5.81,7,8.8,159728,Secundario
43,China,ASIA (EX. NEAR EAST),1313973713,9596960,-0.4,5000,90.9,13.25,6.97,4,24.18,6569868,Secundario
44,Colombia,LATIN AMER. & CARIB,43593035,1138910,-0.31,6300,92.5,20.48,5.58,9.3,20.97,274636,Terciario
45,Comoros,SUB-SAHARAN AFRICA,690948,2170,0,700,56.5,36.93,8.2,6.5,74.93,483,Terciario
46,"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA,62660551,2345410,0,700,65.5,43.69,13.27,2.7,94.69,43862,Primario
47,"Congo, Repub. of the ",SUB-SAHARAN AFRICA,3702314,342000,-0.17,700,83.8,42.57,12.93,8.6,93.86,2591,Secundario
48,Cook Islands,OCEANIA,21388,240,-2.2,5000,95,21,8.6,13.1,12.6,106,Terciario
49,Costa Rica,LATIN AMER. & CARIB,4075261,51100,0.51,9100,96,18.32,4.36,8.1,9.95,37084,Terciario
50,Cote d'Ivoire,SUB-SAHARAN AFRICA,17654843,322460,-0.07,1400,50.9,35.11,14.84,9.4,90.83,24716,Terciario
51,Croatia,EASTERN EUROPE,4494749,56542,1.58,10600,98.5,9.61,11.48,13.9,6.84,47644,Terciario
52,Cuba,LATIN AMER. & CARIB,11382820,110860,-1.58,2900,97,11.89,7.22,2.2,6.33,33010,Terciario
